X Y
218.0112 203.248 
218.2752 202.8655 
218.4405 202.9508 
218.0586 202.9147 
217.6776 202.9448 
218.1133 203.1179 
218.2272 203.0484 
218.2279 203.0399 
218.5738 202.8168 
218.2326 203.1078 
217.9902 203.0085 
218.2628 203.2216 
218.1649 203.0668 
219.4992 203.0184 
218.9778 203.0533 
218.0581 203.2572 
218.4829 203.3693 
218.4132 203.1048 
217.95 203.3258 
218.4019 203.2868 
218.5663 203.4104 
218.3267 203.4899 
218.1714 203.3064 
218.2942 203.287 
217.954 203.2768 
217.7566 203.1066 
217.9397 203.0683 
217.8145 203.2927 
217.8152 203.2414 
218.7532 202.9461 
217.8183 203.0657 
218.4437 202.9593 
217.6162 203.0841 
217.8322 203.1764 
217.5439 203.2455 
217.4244 203.1409 
217.7159 203.2249 
217.7915 203.3245 
217.5926 203.1861 
218.4315 202.8854 
218.0128 202.9427 
217.4286 203.1686 
217.8376 203.0921 
217.3904 203.0547 
217.7054 203.2377 
217.6815 203.1421 
