"animal","X","Y","frameID","quadrant"
"blue",457.72416591204,373.882949440801,593,2
"blue",455.26375,373.882949440801,594,2
"blue",455.0424,373.882949440801,595,2
"blue",454.96155,373.882949440801,596,2
"blue",454.90195,373.882949440801,597,2
"blue",454.81975,373.882949440801,598,2
"blue",454.65815,373.882949440801,599,2
"blue",454.5313,373.882949440801,600,2
"blue",454.5091,373.857699315089,601,2
"blue",454.4473,373.857699315089,602,2
"blue",454.38665,373.857699315089,603,2
"blue",454.3546,373.857699315089,604,2
"blue",454.27415,373.857699315089,605,2
"blue",454.1791,373.857699315089,606,2
"blue",454.1323,373.857699315089,607,2
"blue",454.10965,373.857699315089,608,2
"blue",454.0696,373.857699315089,609,2
"blue",453.9104,373.857699315089,610,2
"blue",453.7717,373.857699315089,611,2
"blue",453.36305,373.857699315089,612,2
"blue",452.9643,373.857699315089,613,2
"blue",452.9643,373.857699315089,614,2
"blue",452.9643,373.857699315089,615,2
"blue",452.9643,373.832448048812,616,2
"blue",452.9643,373.807197560973,617,2
"blue",452.9643,373.784886378627,618,2
"blue",452.9643,373.772263486167,619,2
"blue",452.9643,373.744091288393,620,2
"blue",452.9643,373.714377802226,621,2
"blue",452.9643,373.68245,622,2
"blue",452.9643,373.68245,623,2
"blue",452.9643,373.4795,624,2
"blue",452.9643,373.4795,625,2
"blue",452.9643,373.4795,626,2
"blue",452.9643,373.4795,627,2
"blue",452.9643,373.4795,628,2
"blue",452.9643,373.4795,629,2
"blue",452.9643,373.4795,630,2
"blue",452.9038,373.4795,631,2
"blue",452.9038,373.4795,632,2
"blue",452.7761,373.4795,633,2
"blue",452.7761,373.4795,634,2
"blue",452.7761,373.4795,635,2
"blue",452.5934,373.4795,636,2
"blue",452.5934,373.4795,637,2
"blue",452.5209,373.4795,638,2
"blue",452.5209,373.4795,639,2
"blue",452.5209,373.4795,640,2
"blue",452.5209,373.4795,641,2
"blue",452.5209,373.4795,642,2
"blue",452.6329,373.0838,643,2
"blue",452.73125,372.8562,644,2
"blue",452.80195,372.7107,645,2
"blue",452.84885,372.7107,646,2
"blue",452.8757,372.7107,647,2
"blue",452.93065,372.5221,648,2
"blue",452.9609,372.4193,649,2
"blue",452.97285,372.23495,650,2
"blue",453.02965,371.8642,651,2
